Date,Machine_ID,Ligne_Production,Temperature_C,Pression_bar,Quantite_Produite,Quantite_Defectueuse,Taux_Defaut,Heures_Fonctionnement,Heures_Arret
2023-01-01 01:16:00,M-001,Ligne_A,72.48,4.39,597,9.0,1.507537688442211,8.0,0.0
2023-01-01 01:24:00,M-003,Ligne_B,95.66,4.72,651,24.0,3.686635944700461,7.99,0.01
2023-01-01 01:42:00,M-002,Ligne_A,67.1,4.08,414,12.0,2.898550724637681,8.0,0.0
2023-01-01 03:01:00,M-005,Ligne_C,78.53,3.12,415,14.0,3.3734939759036147,7.92,0.08
2023-01-01 05:05:00,M-001,Ligne_A,65.46,3.37,719,12.0,1.6689847009735743,8.0,0.0
2023-01-01 09:18:00,M-005,Ligne_C,83.42,6.55,559,6.0,1.073345259391771,8.0,0.0
2023-01-01 10:58:00,M-001,Ligne_A,64.25,4.8,409,15.0,3.6674816625916873,8.0,0.0
2023-01-01 13:12:00,M-002,Ligne_A,68.54,3.68,475,14.0,2.9473684210526314,7.98,0.02
2023-01-01 16:59:00,M-003,Ligne_B,83.39,4.81,310,9.0,2.903225806451613,8.0,0.0
2023-01-01 19:22:00,M-002,Ligne_A,69.79,3.44,529,25.0,4.725897920604915,8.0,0.0
2023-01-01 20:04:00,M-004,Ligne_B,86.53,5.21,348,7.0,2.0114942528735633,8.0,0.0
2023-01-01 20:22:00,M-003,Ligne_B,73.92,4.13,658,13.0,1.9756838905775076,8.0,0.0
2023-01-01 21:41:00,M-002,Ligne_A,64.35,4.61,587,22.0,3.747870528109029,8.0,0.0
2023-01-01 21:55:00,M-005,Ligne_C,91.21,3.83,453,20.0,4.415011037527594,8.0,0.0
2023-01-02 00:19:00,M-003,Ligne_B,74.44,5.38,473,10.0,2.1141649048625792,8.0,0.0
2023-01-02 00:42:00,M-002,Ligne_A,67.95,5.15,703,31.0,4.409672830725462,8.0,0.0
2023-01-02 03:35:00,M-002,Ligne_A,64.81,4.44,645,20.0,3.10077519379845,8.0,0.0
2023-01-02 04:16:00,M-004,Ligne_B,90.57,4.47,734,22.0,2.997275204359673,7.72,0.28
2023-01-02 05:36:00,M-004,Ligne_B,85.61,4.26,513,23.0,4.483430799220272,8.0,0.0
2023-01-02 09:46:00,M-004,Ligne_B,71.09,4.07,275,11.0,4.0,8.0,0.0
2023-01-02 10:49:00,M-004,Ligne_B,79.34,4.1,637,26.0,4.081632653061225,8.0,0.0
2023-01-02 12:44:00,M-004,Ligne_B,87.3,5.6,526,24.0,4.562737642585551,8.0,0.0
2023-01-02 13:28:00,M-001,Ligne_A,66.49,4.24,441,18.0,4.081632653061225,8.0,0.0
2023-01-02 16:45:00,M-001,Ligne_A,62.68,2.38,551,44.0,7.985480943738657,7.79,0.21
2023-01-02 20:52:00,M-003,Ligne_B,83.87,4.82,782,19.0,2.4296675191815855,8.0,0.0
2023-01-02 23:13:00,M-005,Ligne_C,86.22,4.49,248,5.0,2.0161290322580645,8.0,0.0
2023-01-03 09:59:00,M-004,Ligne_B,85.42,6.47,471,7.0,1.48619957537155,8.0,0.0
2023-01-03 10:15:00,M-003,Ligne_B,87.11,4.77,498,9.0,1.8072289156626504,8.0,0.0
2023-01-03 11:49:00,M-001,Ligne_A,75.71,5.1,618,15.0,2.4271844660194173,8.0,0.0
2023-01-03 12:07:00,M-001,Ligne_A,65.45,5.62,708,22.0,3.1073446327683616,8.0,0.0
2023-01-03 14:17:00,M-002,Ligne_A,69.79,4.05,514,45.0,8.754863813229571,8.0,0.0
2023-01-03 14:21:00,M-003,Ligne_B,81.48,3.26,510,18.0,3.5294117647058822,7.9,0.1
2023-01-03 17:28:00,M-004,Ligne_B,84.84,5.74,382,70.0,18.32460732984293,8.0,0.0
2023-01-03 19:56:00,M-004,Ligne_B,82.75,5.15,315,13.0,4.1269841269841265,8.0,0.0
2023-01-04 02:55:00,M-005,Ligne_C,94.55,6.53,451,20.0,4.434589800443459,8.0,0.0
2023-01-04 03:43:00,M-005,Ligne_C,83.56,4.71,617,14.0,2.2690437601296596,8.0,0.0
2023-01-04 04:28:00,M-005,Ligne_C,94.1,3.81,592,7.0,1.1824324324324325,8.0,0.0
2023-01-04 05:44:00,M-004,Ligne_B,84.84,4.73,392,3.0,0.7653061224489796,8.0,0.0
2023-01-04 05:55:00,M-001,Ligne_A,70.87,3.53,657,12.0,1.82648401826484,8.0,0.0
2023-01-04 05:59:00,M-004,Ligne_B,94.28,3.72,618,14.0,2.26537216828479,8.0,0.0
2023-01-04 06:19:00,M-001,Ligne_A,73.85,5.51,563,18.0,3.197158081705151,7.95,0.05
2023-01-04 07:53:00,M-002,Ligne_A,74.7,3.4,384,7.0,1.8229166666666667,8.0,0.0
2023-01-04 07:56:00,M-005,Ligne_C,84.46,4.77,541,22.0,4.066543438077634,7.65,0.35
2023-01-04 11:00:00,M-003,Ligne_B,90.79,4.29,908,16.0,1.762114537444934,7.36,0.64
2023-01-04 11:19:00,M-001,Ligne_A,64.65,4.89,466,4.0,0.8583690987124464,8.0,0.0
2023-01-04 13:01:00,M-004,Ligne_B,90.0,4.4,611,29.0,4.746317512274959,8.0,0.0
2023-01-04 13:08:00,M-005,Ligne_C,79.07,3.29,433,7.0,1.6166281755196306,8.0,0.0
