Date,Machine_ID,Ligne_Production,Temperature_C,Pression_bar,Quantite_Produite,Quantite_Defectueuse,Heures_Fonctionnement,Heures_Arret
2023-01-01 01:16:00,M-001,Ligne_A,72.48,4.39,597,9.0,8.0,0.0
2023-01-01 01:24:00,M-003,Ligne_B,95.66,4.72,651,24.0,7.99,0.01
2023-01-01 01:42:00,M-002,Ligne_A,67.1,4.08,414,12.0,8.0,0.0
2023-01-01 03:01:00,M-005,Ligne_C,78.53,3.12,415,14.0,7.92,0.08
2023-01-01 05:05:00,M-001,Ligne_A,65.46,3.37,719,12.0,8.0,0.0
2023-01-01 09:18:00,M-005,Ligne_C,83.42,6.55,559,6.0,8.0,0.0
2023-01-01 10:58:00,M-001,Ligne_A,64.25,4.8,409,15.0,8.0,0.0
2023-01-01 13:12:00,M-002,Ligne_A,68.54,3.68,475,14.0,7.98,0.02
2023-01-01 16:59:00,M-003,Ligne_B,83.39,4.81,310,9.0,8.0,0.0
2023-01-01 19:22:00,M-002,Ligne_A,-99.9,3.44,529,25.0,8.0,0.0
2023-01-01 20:04:00,M-004,Ligne_B,86.53,5.21,348,7.0,8.0,0.0
2023-01-01 20:22:00,M-003,Ligne_B,73.92,4.13,658,13.0,8.0,0.0
2023-01-01 21:41:00,M-002,Ligne_A,64.35,4.61,587,22.0,8.0,0.0
2023-01-01 21:55:00,M-005,Ligne_C,91.21,3.83,453,20.0,8.0,0.0
2023-01-02 00:19:00,M-003,Ligne_B,74.44,5.38,473,10.0,8.0,0.0
2023-01-02 00:42:00,M-002,Ligne_A,67.95,5.15,703,31.0,8.0,0.0
2023-01-02 03:35:00,M-002,Ligne_A,64.81,4.44,645,20.0,8.0,0.0
2023-01-02 04:16:00,M-004,Ligne_B,90.57,4.47,734,22.0,7.72,0.28
2023-01-02 05:36:00,M-004,Ligne_B,85.61,4.26,513,23.0,8.0,0.0
2023-01-02 09:46:00,M-004,Ligne_B,71.09,4.07,275,11.0,8.0,0.0
2023-01-02 10:49:00,M-004,Ligne_B,79.34,4.1,637,26.0,8.0,0.0
2023-01-02 12:44:00,M-004,Ligne_B,87.3,5.6,526,24.0,8.0,0.0
2023-01-02 13:28:00,M-001,Ligne_A,66.49,4.24,441,18.0,8.0,0.0
2023-01-02 16:45:00,M-001,Ligne_A,62.68,2.38,551,44.0,7.79,0.21
2023-01-02 20:52:00,M-003,Ligne_B,83.87,4.82,782,19.0,8.0,0.0
2023-01-02 23:13:00,M-005,Ligne_C,86.22,4.49,248,5.0,8.0,0.0
2023-01-03 09:59:00,M-004,Ligne_B,85.42,6.47,471,7.0,8.0,0.0
2023-01-03 10:15:00,M-003,Ligne_B,87.11,4.77,498,9.0,8.0,0.0
2023-01-03 11:49:00,M-001,Ligne_A,75.71,5.1,618,15.0,8.0,0.0
2023-01-03 12:07:00,M-001,Ligne_A,65.45,5.62,708,22.0,8.0,0.0
2023-01-03 14:17:00,M-002,Ligne_A,150.45,4.05,514,45.0,8.0,0.0
2023-01-03 14:21:00,M-003,Ligne_B,81.48,3.26,510,18.0,7.9,0.1
2023-01-03 17:28:00,M-004,Ligne_B,160.4,5.74,382,70.0,8.0,0.0
2023-01-03 19:56:00,M-004,Ligne_B,82.75,5.15,315,13.0,8.0,0.0
2023-01-04 02:55:00,M-005,Ligne_C,94.55,6.53,451,20.0,8.0,0.0
2023-01-04 03:43:00,M-005,Ligne_C,83.56,4.71,617,14.0,8.0,0.0
2023-01-04 04:28:00,M-005,Ligne_C,94.1,3.81,592,7.0,8.0,0.0
2023-01-04 05:44:00,M-004,Ligne_B,-99.9,4.73,392,3.0,8.0,0.0
2023-01-04 05:55:00,M-001,Ligne_A,70.87,3.53,657,12.0,8.0,0.0
2023-01-04 05:59:00,M-004,Ligne_B,94.28,3.72,618,14.0,8.0,0.0
2023-01-04 06:19:00,M-001,Ligne_A,73.85,5.51,563,18.0,7.95,0.05
2023-01-04 07:53:00,M-002,Ligne_A,74.7,3.4,384,7.0,8.0,0.0
2023-01-04 07:56:00,M-005,Ligne_C,84.46,4.77,541,22.0,7.65,0.35
2023-01-04 11:00:00,M-003,Ligne_B,90.79,4.29,908,16.0,7.36,0.64
2023-01-04 11:19:00,M-001,Ligne_A,64.65,4.89,466,4.0,8.0,0.0
2023-01-04 13:01:00,M-004,Ligne_B,90.0,4.4,611,29.0,8.0,0.0
2023-01-04 13:08:00,M-005,Ligne_C,79.07,3.29,433,7.0,8.0,0.0
2023-01-04 15:39:00,M-004,Ligne_B,90.99,5.07,513,19.0,8.0,0.0
2023-01-04 18:33:00,M-001,Ligne_A,65.58,4.62,508,22.0,8.0,0.0
2023-01-04 20:04:00,M-004,Ligne_B,77.0,5.2,659,25.0,8.0,0.0
2023-01-04 21:37:00,M-005,Ligne_C,75.36,3.75,577,25.0,6.78,1.22
2023-01-05 00:43:00,M-003,Ligne_B,88.6,4.91,1077,45.0,8.0,0.0
2023-01-05 02:24:00,M-002,Ligne_A,76.65,5.29,534,12.0,8.0,0.0
2023-01-05 03:27:00,M-003,Ligne_B,86.23,3.88,464,15.0,8.0,0.0
2023-01-05 03:40:00,M-002,Ligne_A,69.8,4.07,231,7.0,8.0,0.0
2023-01-05 05:26:00,M-002,Ligne_A,71.79,4.12,663,9.0,7.63,0.37
2023-01-05 10:00:00,M-002,Ligne_A,66.42,5.04,390,4.0,7.62,0.38
2023-01-05 11:12:00,M-005,Ligne_C,86.52,6.22,595,23.0,6.14,1.86
2023-01-05 11:46:00,M-002,Ligne_A,59.87,4.65,400,11.0,7.96,0.04
2023-01-05 11:48:00,M-004,Ligne_B,90.97,4.9,629,16.0,8.0,0.0
2023-01-05 12:59:00,M-003,Ligne_B,82.66,4.25,547,21.0,8.0,0.0
2023-01-05 13:30:00,M-001,Ligne_A,61.94,3.49,637,30.0,8.0,0.0
2023-01-05 14:57:00,M-005,Ligne_C,87.64,5.82,300,5.0,8.0,0.0
2023-01-05 15:51:00,M-005,Ligne_C,97.91,5.51,393,4.0,8.0,0.0
2023-01-05 15:59:00,M-004,Ligne_B,83.34,6.0,497,14.0,7.9,0.1
2023-01-05 16:29:00,M-005,Ligne_C,78.47,2.9,304,45.0,7.98,0.02
2023-01-05 16:37:00,M-001,Ligne_A,77.21,3.35,674,24.0,8.0,0.0
2023-01-05 18:55:00,M-003,Ligne_B,85.07,4.34,509,17.0,6.59,1.41
2023-01-05 19:22:00,M-004,Ligne_B,71.72,5.52,407,12.0,8.0,0.0
2023-01-05 19:32:00,M-001,Ligne_A,80.56,4.38,588,28.0,8.0,0.0
2023-01-05 21:11:00,M-003,Ligne_B,81.59,4.67,632,6.0,8.0,0.0
2023-01-05 21:32:00,M-003,Ligne_B,81.75,4.03,627,9.0,8.0,0.0
2023-01-05 21:52:00,M-001,Ligne_A,74.76,5.66,554,23.0,8.0,0.0
2023-01-05 22:21:00,M-004,Ligne_B,89.07,3.84,415,16.0,8.0,0.0
2023-01-05 22:53:00,M-004,Ligne_B,72.49,3.52,399,18.0,8.0,0.0
2023-01-06 00:33:00,M-003,Ligne_B,93.13,4.33,664,26.0,7.3,0.7
2023-01-06 08:41:00,M-003,Ligne_B,94.14,,602,15.0,8.0,0.0
2023-01-06 11:14:00,M-003,Ligne_B,82.83,4.28,408,19.0,8.0,0.0
